Date,Lot,Tester,Program,Product,CP_Yield,FT_Yield,Anomaly_Type,Bin1_Leakage,Bin2_Short,Bin3_Open,Bin4_VtFail,Bin5_FuncFail,Bin6_IDDQ,Bin7_Speed,Bin8_Other
2026-01-01,LOT_0001,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.8,98.13,normal,1.25,0.6,0.34,0.57,1.46,0.42,0.44,0.11
2026-01-02,LOT_0002,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.42,98.34,normal,1.53,0.68,0.38,0.71,1.09,0.43,0.4,0.16
2026-01-03,LOT_0003,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,93.89,96.12,normal,1.25,0.89,0.78,0.79,1.39,0.49,0.32,0.23
2026-01-04,LOT_0004,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.69,96.61,normal,0.85,1.04,0.78,1.18,1.04,0.29,0.45,0.18
2026-01-05,LOT_0005,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.49,96.08,normal,1.58,0.69,0.64,0.81,1.26,0.43,0.33,0.27
2026-01-06,LOT_0006,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,93.87,97.3,normal,1.78,1.16,0.67,1.46,1.0,0.37,0.32,0.18
2026-01-07,LOT_0007,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,93.61,97.18,normal,1.3,0.82,0.67,0.77,1.73,0.34,0.63,0.28
2026-01-08,LOT_0008,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.07,96.06,normal,0.89,1.08,0.72,1.24,1.58,0.32,0.4,0.14
2026-01-09,LOT_0009,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.7,97.03,normal,0.85,0.69,0.44,1.11,1.3,0.5,0.39,0.13
2026-01-10,LOT_0010,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,95.09,98.37,normal,1.3,0.77,0.62,0.86,1.12,0.35,0.25,0.11
2026-01-11,LOT_0011,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,94.55,96.84,normal,1.23,1.04,0.41,0.88,1.43,0.33,0.29,0.16
2026-01-12,LOT_0012,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.32,96.22,normal,1.64,1.03,0.64,1.31,1.54,0.34,0.54,0.21
2026-01-13,LOT_0013,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.08,96.15,normal,1.27,1.08,0.81,0.6,1.34,0.42,0.36,0.14
2026-01-14,LOT_0014,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.3,96.65,normal,1.66,0.75,0.58,1.17,1.17,0.56,0.56,0.16
2026-01-15,LOT_0015,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,93.35,95.56,normal,1.03,1.07,0.67,0.72,1.28,0.63,0.41,0.16
2026-01-16,LOT_0016,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.48,97.21,normal,1.64,0.69,0.65,1.18,1.02,0.48,0.38,0.21
2026-01-17,LOT_0017,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.85,96.58,normal,1.42,0.68,0.35,0.55,1.23,0.43,0.26,0.18
2026-01-18,LOT_0018,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,95.81,97.88,normal,1.03,0.49,0.5,0.66,1.22,0.24,0.28,0.1
2026-01-19,LOT_0019,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,94.99,98.53,normal,1.17,0.77,0.37,0.57,1.43,0.48,0.41,0.15
2026-01-20,LOT_0020,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,93.76,96.13,normal,1.62,1.18,0.87,1.35,1.54,0.34,0.36,0.29
2026-01-21,LOT_0021,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.68,96.19,normal,0.93,0.82,0.63,1.05,0.98,0.46,0.33,0.16
2026-01-22,LOT_0022,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.07,97.44,normal,1.47,1.1,0.69,1.1,0.97,0.41,0.38,0.16
2026-01-23,LOT_0023,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,94.45,98.18,normal,1.36,1.0,0.56,1.03,1.24,0.33,0.48,0.16
2026-01-24,LOT_0024,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.7,96.27,normal,1.31,0.62,0.76,1.29,1.52,0.36,0.27,0.25
2026-01-25,LOT_0025,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.78,98.69,normal,1.45,0.68,0.46,1.19,1.03,0.31,0.41,0.25
2026-01-26,LOT_0026,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.46,97.7,normal,1.31,0.61,0.62,1.38,0.95,0.42,0.52,0.23
2026-01-27,LOT_0027,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,95.15,97.55,normal,0.94,0.88,0.64,1.12,1.39,0.37,0.36,0.21
2026-01-28,LOT_0028,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,95.13,98.26,normal,1.24,0.87,0.68,0.73,1.0,0.27,0.38,0.1
2026-01-29,LOT_0029,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,95.89,98.11,normal,0.98,0.42,0.22,0.92,0.84,0.23,0.31,0.18
2026-01-30,LOT_0030,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,93.38,95.42,normal,1.61,0.72,0.37,1.19,1.53,0.54,0.57,0.33
2026-01-31,LOT_0031,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,86.9,89.08,sudden_drop,7.07,1.41,0.69,9.61,3.61,1.11,0.92,0.33
2026-02-01,LOT_0032,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,90.14,92.27,sudden_drop,5.73,1.69,1.14,4.2,2.89,0.86,0.77,0.38
2026-02-02,LOT_0033,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,88.52,91.92,sudden_drop,4.37,1.28,0.63,3.65,3.19,0.98,0.85,0.26
2026-02-03,LOT_0034,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,88.73,91.42,sudden_drop,4.96,1.62,1.01,6.5,2.76,0.59,0.77,0.44
2026-02-04,LOT_0035,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,89.22,91.13,sudden_drop,4.33,1.77,0.57,6.07,3.14,0.85,0.75,0.42
2026-02-05,LOT_0036,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,89.13,92.0,sudden_drop,7.91,1.51,1.59,7.69,1.95,0.58,0.6,0.22
2026-02-06,LOT_0037,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,90.46,92.75,sudden_drop,6.6,0.98,1.25,4.07,1.6,0.81,0.78,0.44
2026-02-07,LOT_0038,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,87.92,91.43,sudden_drop,5.81,1.42,1.51,8.01,3.61,0.85,0.83,0.52
2026-02-08,LOT_0039,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,88.25,90.83,sudden_drop,7.71,2.06,0.71,8.3,2.65,1.07,0.78,0.55
2026-02-09,LOT_0040,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,89.21,90.74,sudden_drop,7.71,1.18,0.88,7.85,3.16,0.85,0.88,0.36
2026-02-10,LOT_0041,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,87.88,91.26,sudden_drop,8.14,2.17,0.72,6.33,1.92,0.94,0.87,0.57
2026-02-11,LOT_0042,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,88.72,90.51,sudden_drop,4.84,1.99,1.26,3.9,1.83,0.96,0.61,0.5
2026-02-12,LOT_0043,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,89.96,93.93,sudden_drop,5.17,1.38,1.32,7.29,2.99,0.88,0.69,0.23
2026-02-13,LOT_0044,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,88.31,91.2,sudden_drop,6.24,2.23,0.71,6.1,1.77,0.86,0.62,0.28
2026-02-14,LOT_0045,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,88.46,91.41,sudden_drop,8.49,1.59,0.91,7.98,2.12,1.13,0.58,0.57
2026-02-15,LOT_0046,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,89.87,93.6,sudden_drop,5.8,2.02,0.58,5.56,2.99,0.77,0.82,0.41
2026-02-16,LOT_0047,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,95.79,98.75,normal,1.2,0.44,0.33,1.02,1.19,0.31,0.34,0.12
2026-02-17,LOT_0048,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.04,96.01,normal,1.31,0.81,0.65,0.67,1.77,0.59,0.51,0.22
2026-02-18,LOT_0049,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,95.07,98.28,normal,0.86,0.94,0.65,1.2,1.28,0.4,0.35,0.24
2026-02-19,LOT_0050,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.15,97.82,normal,0.92,0.6,0.51,1.3,1.74,0.34,0.47,0.18
2026-02-20,LOT_0051,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,94.43,96.97,normal,1.06,0.59,0.76,1.24,1.67,0.56,0.43,0.24
2026-02-21,LOT_0052,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,95.24,99.1,normal,1.32,0.59,0.45,0.57,1.39,0.38,0.29,0.19
2026-02-22,LOT_0053,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,93.58,95.36,normal,1.61,0.98,0.82,1.14,1.78,0.5,0.5,0.3
2026-02-23,LOT_0054,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,95.27,97.78,normal,0.81,0.49,0.59,0.91,1.21,0.29,0.27,0.1
2026-02-24,LOT_0055,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,95.14,97.62,normal,1.05,0.93,0.41,0.86,1.3,0.34,0.39,0.22
2026-02-25,LOT_0056,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,85.6,87.46,spike,10.41,2.15,1.09,7.3,4.28,1.07,0.96,0.56
2026-02-26,LOT_0057,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.43,96.25,normal,0.94,0.64,0.36,1.09,0.99,0.38,0.53,0.19
2026-02-27,LOT_0058,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.45,97.62,normal,0.98,0.66,0.3,0.7,1.06,0.33,0.3,0.13
2026-02-28,LOT_0059,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,93.64,96.05,normal,1.43,1.08,0.34,1.4,1.55,0.34,0.6,0.3
2026-03-01,LOT_0060,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.39,96.04,normal,1.08,1.01,0.7,0.72,1.02,0.38,0.42,0.22
2026-03-02,LOT_0061,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.12,97.49,normal,0.91,0.74,0.71,1.38,1.33,0.45,0.33,0.2
2026-03-03,LOT_0062,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,93.18,96.02,normal,1.27,0.87,0.6,0.7,1.35,0.41,0.45,0.16
2026-03-04,LOT_0063,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,94.63,97.83,normal,1.44,0.8,0.32,0.97,1.28,0.47,0.38,0.13
2026-03-05,LOT_0064,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,95.05,97.26,normal,1.01,0.82,0.53,0.76,1.48,0.4,0.31,0.11
2026-03-06,LOT_0065,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.23,96.13,normal,1.03,0.74,0.39,1.35,0.94,0.44,0.41,0.29
2026-03-07,LOT_0066,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.12,95.9,normal,1.23,1.16,0.8,1.31,1.11,0.34,0.49,0.28
2026-03-08,LOT_0067,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,95.73,97.93,normal,1.13,0.51,0.35,0.7,0.97,0.27,0.24,0.16
2026-03-09,LOT_0068,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,95.47,97.69,normal,1.07,0.52,0.44,0.81,0.71,0.3,0.26,0.1
2026-03-10,LOT_0069,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.14,97.34,normal,1.55,0.94,0.57,0.95,1.19,0.57,0.54,0.29
2026-03-11,LOT_0070,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.96,96.77,normal,1.31,0.98,0.34,0.55,1.32,0.4,0.46,0.12
2026-03-12,LOT_0071,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,93.34,95.25,trending_decline,2.91,1.21,0.78,3.56,1.36,0.62,0.46,0.3
2026-03-13,LOT_0072,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,93.65,96.25,trending_decline,3.28,0.93,0.51,4.04,1.43,0.39,0.6,0.2
2026-03-14,LOT_0073,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,93.44,96.5,trending_decline,2.75,1.27,0.74,2.96,1.12,0.59,0.53,0.24
2026-03-15,LOT_0074,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,92.56,96.29,trending_decline,4.99,0.86,0.6,3.07,1.95,0.38,0.58,0.32
2026-03-16,LOT_0075,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,91.89,95.44,trending_decline,3.38,1.5,0.51,3.88,2.19,0.47,0.5,0.34
2026-03-17,LOT_0076,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,92.2,95.5,trending_decline,4.8,1.32,0.81,3.22,1.57,0.46,0.74,0.29
2026-03-18,LOT_0077,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,90.77,94.63,trending_decline,3.99,1.46,0.93,5.31,1.41,0.86,0.89,0.34
2026-03-19,LOT_0078,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,89.51,92.75,trending_decline,7.57,1.79,0.68,5.87,2.53,0.75,0.91,0.5
2026-03-20,LOT_0079,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,90.45,92.23,trending_decline,7.11,1.76,0.6,6.83,2.68,0.73,0.76,0.31
2026-03-21,LOT_0080,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,90.57,92.21,trending_decline,4.72,1.7,0.48,4.24,1.98,0.72,0.91,0.29
2026-03-22,LOT_0081,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,90.46,93.09,trending_decline,4.38,1.39,0.61,3.62,2.14,0.68,0.91,0.29
2026-03-23,LOT_0082,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,88.81,91.76,trending_decline,6.85,1.13,1.3,4.25,3.29,0.64,0.79,0.25
2026-03-24,LOT_0083,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,88.9,91.89,trending_decline,4.44,1.94,0.79,7.82,2.01,0.66,0.58,0.38
2026-03-25,LOT_0084,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,88.59,91.51,trending_decline,4.56,2.02,1.09,6.11,2.46,0.8,0.89,0.28
2026-03-26,LOT_0085,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,88.27,92.14,trending_decline,6.04,1.49,1.34,5.67,1.8,0.68,1.01,0.47
2026-03-27,LOT_0086,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,87.55,89.11,trending_decline,5.71,1.53,1.46,3.85,2.06,1.12,0.73,0.49
2026-03-28,LOT_0087,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,87.09,89.2,trending_decline,8.34,2.4,1.72,6.18,3.23,0.78,0.83,0.61
2026-03-29,LOT_0088,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,86.76,88.29,trending_decline,5.39,1.6,0.7,5.05,3.14,0.94,1.25,0.59
2026-03-30,LOT_0089,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,85.76,88.2,trending_decline,8.5,1.81,1.6,6.9,3.32,1.02,0.92,0.69
2026-03-31,LOT_0090,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,85.61,89.02,trending_decline,6.15,2.69,1.42,10.11,3.88,1.03,0.74,0.4
2026-04-01,LOT_0091,ATE_UltraFLEX_01,TP_NAND_B_v2.1,NAND_512Gb,86.99,89.14,trending_decline,5.56,2.39,1.93,6.98,2.29,0.83,0.66,0.62
2026-04-02,LOT_0092,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.9,96.7,normal,1.21,0.65,0.54,1.01,1.4,0.31,0.26,0.12
2026-04-03,LOT_0093,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,95.47,98.63,normal,0.8,0.87,0.42,0.71,1.03,0.24,0.26,0.19
2026-04-04,LOT_0094,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,95.44,97.15,normal,1.1,0.57,0.41,0.65,0.93,0.39,0.3,0.17
2026-04-05,LOT_0095,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,95.75,99.5,normal,1.1,0.52,0.23,0.59,1.02,0.22,0.32,0.16
2026-04-06,LOT_0096,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.32,96.65,normal,1.51,0.63,0.33,1.19,1.27,0.48,0.41,0.16
2026-04-07,LOT_0097,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.8,98.04,normal,0.99,0.83,0.45,0.59,1.5,0.3,0.51,0.17
2026-04-08,LOT_0098,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.82,96.78,normal,1.2,0.97,0.64,1.14,1.29,0.44,0.48,0.14
2026-04-09,LOT_0099,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,93.58,97.55,normal,1.87,0.67,0.77,1.53,1.14,0.5,0.61,0.13
2026-04-10,LOT_0100,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.47,97.71,normal,1.08,1.07,0.81,1.34,1.22,0.52,0.51,0.16
2026-04-11,LOT_0101,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,93.66,95.46,normal,1.02,1.08,0.53,1.32,1.01,0.42,0.49,0.28
2026-04-12,LOT_0102,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.8,97.1,normal,1.27,0.98,0.58,0.7,0.8,0.49,0.27,0.24
2026-04-13,LOT_0103,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,94.93,98.42,normal,1.52,0.69,0.64,0.81,1.13,0.41,0.48,0.25
2026-04-14,LOT_0104,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.53,97.95,normal,1.16,0.78,0.68,0.74,0.91,0.37,0.35,0.16
2026-04-15,LOT_0105,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,93.34,96.54,normal,1.22,1.3,0.86,0.76,1.42,0.63,0.65,0.23
2026-04-16,LOT_0106,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,86.94,88.85,spike,9.76,1.61,1.88,7.74,3.15,0.99,0.8,0.33
2026-04-17,LOT_0107,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,94.13,97.58,normal,1.19,0.62,0.86,1.37,1.7,0.59,0.34,0.19
2026-04-18,LOT_0108,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.17,97.56,normal,1.48,0.67,0.77,0.78,1.07,0.45,0.46,0.22
2026-04-19,LOT_0109,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.13,97.85,normal,1.72,1.09,0.77,1.16,1.36,0.32,0.41,0.18
2026-04-20,LOT_0110,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.27,96.42,normal,1.48,0.86,0.33,0.76,1.45,0.31,0.53,0.2
2026-04-21,LOT_0111,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,96.02,99.5,normal,0.81,0.67,0.42,0.56,1.12,0.36,0.33,0.18
2026-04-22,LOT_0112,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.18,97.85,normal,1.49,1.07,0.7,1.18,1.41,0.51,0.34,0.27
2026-04-23,LOT_0113,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,94.4,96.74,normal,1.46,0.65,0.74,1.26,1.27,0.28,0.36,0.22
2026-04-24,LOT_0114,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.59,98.54,normal,1.32,0.68,0.61,0.98,1.44,0.3,0.48,0.2
2026-04-25,LOT_0115,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,94.44,97.52,normal,1.61,0.61,0.8,1.13,0.89,0.36,0.47,0.12
2026-04-26,LOT_0116,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,94.67,97.62,normal,1.08,0.86,0.29,1.23,1.58,0.52,0.47,0.13
2026-04-27,LOT_0117,ATE_V93000_01,TP_DRAM_A_v3.2,DDR5_16Gb,95.44,98.65,normal,0.99,0.58,0.68,0.75,0.99,0.27,0.41,0.19
2026-04-28,LOT_0118,ATE_V93000_02,TP_NAND_B_v2.1,NAND_512Gb,94.46,96.51,normal,0.9,0.93,0.64,0.78,1.62,0.32,0.4,0.27
2026-04-29,LOT_0119,ATE_UltraFLEX_01,TP_SoC_C_v1.8,SoC_A1,95.61,98.1,normal,0.84,0.87,0.4,1.03,0.81,0.27,0.23,0.17
2026-04-30,LOT_0120,ATE_J750_01,TP_DRAM_A_v3.1,DDR5_8Gb,93.86,96.28,normal,1.72,0.9,0.9,0.79,1.72,0.55,0.54,0.28
